appid,name,developer,publisher,price,discount,genre,tags
10,Counter-Strike,Valve,Valve,999,0,Action,"{'Action': 5442, 'FPS': 4855, 'Multiplayer': 3412, 'Shooter': 3366, 'Classic': 2799, 'Team-Based': 1874, 'First-Person': 1714, 'Competitive': 1616, 'Tactical': 1354, ""1990's"": 1208, 'e-sports': 1199, 'PvP': 890, 'Old School': 782, 'Military': 637, 'Strategy': 620, 'Survival': 308, 'Score Attack': 294, '1980s': 274, 'Assassin': 231, 'Nostalgia': 148}"
20,Team Fortress Classic,Valve,Valve,499,0,Action,"{'Action': 758, 'FPS': 318, 'Multiplayer': 270, 'Classic': 245, 'Hero Shooter': 218, 'Shooter': 216, 'Team-Based': 197, 'Class-Based': 188, 'First-Person': 180, ""1990's"": 148, 'Old School': 116, 'Co-op': 94, 'Competitive': 78, 'Fast-Paced': 69, 'Retro': 63, 'Online Co-Op': 54, 'Violent': 51, 'Funny': 38, 'Mod': 38, 'Remake': 36}"
60,Ricochet,Valve,Valve,499,0,Action,"{'Action': 588, 'FPS': 132, 'Multiplayer': 110, 'Classic': 94, 'First-Person': 82, 'Sci-fi': 56, 'Shooter': 55, 'Space': 45, 'Cyberpunk': 38, 'Memes': 33, 'Psychological Horror': 32, 'Platformer': 29, 'Conspiracy': 28, '3D': 27, 'Old School': 26, 'Retro': 26, 'Cult Classic': 21, 'Competitive': 20, 'Sports': 12, 'Great Soundtrack': 10}"
70,Half-Life,Valve,Valve,999,0,Action,"{'FPS': 2303, 'Sci-fi': 1817, ""1990's"": 1813, 'Classic': 1811, 'Multiplayer': 1810, 'Singleplayer': 1809, 'Action': 1801, 'Shooter': 1798, 'First-Person': 1788, 'Aliens': 1786, 'Silent Protagonist': 1781, 'Story Rich': 1778, 'Atmospheric': 1768, 'Moddable': 1759, 'Adventure': 1754, 'Retro': 1747, 'Action-Adventure': 1746, 'Gore': 1744, 'Difficult': 1730, 'PvP': 1715}"
220,Half-Life 2,Valve,Valve,999,0,Action,"{'FPS': 3998, 'Action': 2854, 'Sci-fi': 2495, 'Classic': 2275, 'Singleplayer': 2220, 'Story Rich': 1924, 'Shooter': 1731, 'First-Person': 1612, 'Adventure': 1382, 'Dystopian ': 1222, 'Atmospheric': 1131, 'Zombies': 1041, 'Silent Protagonist': 1037, 'Physics': 991, 'Aliens': 962, 'Great Soundtrack': 954, 'Horror': 806, 'Puzzle': 740, 'Multiplayer': 689, 'Moddable': 533}"
240,Counter-Strike: Source,Valve,Valve,999,0,Action,"{'Shooter': 5283, 'Action': 3156, 'FPS': 3149, 'Multiplayer': 2513, 'Team-Based': 1687, 'First-Person': 1484, 'Tactical': 1339, 'Competitive': 1335, 'PvP': 1018, 'e-sports': 954, 'Military': 758, 'War': 645, 'Strategy': 518, 'Moddable': 498, 'Singleplayer': 394, 'Difficult': 389, 'Atmospheric': 302, 'Survival': 283, 'Simulation': 245, 'Sandbox': 204}"
340,Half-Life 2: Lost Coast,Valve,Valve,0,0,Action,"{'FPS': 1028, 'Action': 362, 'Singleplayer': 311, 'First-Person': 252, 'Sci-fi': 248, 'Shooter': 224, 'Short': 220, 'Aliens': 121, 'Dystopian ': 114, 'Classic': 112, 'Adventure': 107, 'Atmospheric': 94, 'Benchmark': 94, 'Futuristic': 91, 'Silent Protagonist': 86, 'Free to Play': 60, 'Multiplayer': 41, 'Post-apocalyptic': 41, 'Story Rich': 41, 'Great Soundtrack': 36}"
360,Half-Life Deathmatch: Source,Valve,Valve,999,0,Action,"{'Action': 244, 'FPS': 163, 'Multiplayer': 127, 'Shooter': 98, 'Sci-fi': 87, 'First-Person': 76, 'Classic': 72, 'Remake': 26, 'Adventure': 16, 'Fast-Paced': 13, 'Competitive': 13, 'Horror': 10, 'Atmospheric': 9, 'Singleplayer': 7}"
380,Half-Life 2: Episode One,Valve,Valve,799,0,Action,"{'FPS': 735, 'Action': 529, 'Sci-fi': 464, 'Singleplayer': 402, 'First-Person': 313, 'Story Rich': 312, 'Shooter': 302, 'Classic': 279, 'Dystopian ': 234, 'Adventure': 227, 'Aliens': 226, 'Zombies': 224, 'Episodic': 170, 'Atmospheric': 165, 'Silent Protagonist': 161, 'Great Soundtrack': 156, 'Short': 148, 'Puzzle': 116, 'Cinematic': 96, 'Moddable': 73}"
400,Portal,Valve,Valve,999,0,Action,"{'Puzzle': 4090, 'Puzzle-Platformer': 3084, 'First-Person': 2437, '3D Platformer': 2406, 'Singleplayer': 2073, 'Sci-fi': 1927, 'Comedy': 1564, 'Female Protagonist': 1481, 'Funny': 1044, 'Physics': 1036, 'Action': 1028, 'Story Rich': 840, 'Classic': 834, 'Platformer': 797, 'Science': 761, 'Atmospheric': 661, 'FPS': 639, 'Dark Humor': 630, 'Short': 619, 'Adventure': 613}"
420,Half-Life 2: Episode Two,Valve,Valve,799,0,Action,"{'FPS': 915, 'Action': 678, 'Sci-fi': 566, 'Singleplayer': 504, 'Shooter': 446, 'Story Rich': 393, 'First-Person': 388, 'Classic': 356, 'Adventure': 316, 'Aliens': 296, 'Atmospheric': 265, 'Zombies': 262, 'Silent Protagonist': 248, 'Dystopian ': 214, 'Great Soundtrack': 213, 'Post-apocalyptic': 196, 'Episodic': 161, 'Puzzle': 154, 'Horror': 136, 'Multiplayer': 88}"
440,Team Fortress 2,Valve,Valve,0,0,"Action, Free to Play","{'Free to Play': 61961, 'Hero Shooter': 60695, 'Multiplayer': 22165, 'FPS': 15068, 'Shooter': 12241, 'Action': 11701, 'Class-Based': 9318, 'Team-Based': 8950, 'Funny': 8828, 'First-Person': 7526, 'Online Co-Op': 6979, 'Competitive': 6816, 'Cartoony': 6810, 'Trading': 6580, 'Co-op': 5553, 'Comedy': 5014, 'Robots': 4463, 'Tactical': 3789, 'Cartoon': 3723, 'Crafting': 3514}"
500,Left 4 Dead,Valve,Valve,999,0,Action,"{'Zombies': 2102, 'Co-op': 1336, 'Multiplayer': 1183, 'FPS': 1141, 'Action': 990, 'Horror': 820, 'Shooter': 786, 'Online Co-Op': 778, 'Survival': 637, 'Team-Based': 627, 'First-Person': 589, 'Post-apocalyptic': 522, 'Singleplayer': 416, 'Atmospheric': 313, 'Adventure': 297, 'Moddable': 289, 'Tactical': 272, 'Replay Value': 250, 'Competitive': 249, 'Female Protagonist': 220}"
550,Left 4 Dead 2,Valve,Valve,999,0,Action,"{'Zombies': 20715, 'Co-op': 10973, 'FPS': 9745, 'Multiplayer': 9015, 'Shooter': 6823, 'Online Co-Op': 6495, 'Action': 6486, 'Survival': 5461, 'Horror': 5144, 'First-Person': 4383, 'Gore': 4072, 'Team-Based': 3444, 'Moddable': 2864, 'Survival Horror': 2852, 'Post-apocalyptic': 2768, 'Singleplayer': 2268, 'Adventure': 2086, 'Local Co-Op': 1996, 'Replay Value': 1974, 'Tactical': 1914}"
570,Dota 2,Valve,Valve,0,0,"Action, Free to Play, Strategy","{'Free to Play': 58972, 'MOBA': 19701, 'Multiplayer': 14908, 'Strategy': 13886, 'e-sports': 11393, 'Team-Based': 10676, 'Competitive': 8027, 'Action': 7752, 'Online Co-Op': 7249, 'PvP': 5800, 'Difficult': 5102, 'Co-op': 4125, 'RTS': 3955, 'Tower Defense': 3637, 'RPG': 3616, 'Fantasy': 3607, 'Character Customization': 2804, 'Replay Value': 2670, 'Action RPG': 2348, 'Simulation': 1851}"
620,Portal 2,Valve,Valve,999,0,"Action, Adventure","{'Platformer': 7267, 'Puzzle': 7008, 'Dark Humor': 6843, 'First-Person': 6816, 'Story Rich': 6791, 'Puzzle-Platformer': 6773, 'Funny': 6683, 'Female Protagonist': 6655, '3D Platformer': 6618, 'Action-Adventure': 6515, 'Action': 6474, 'FPS': 6470, 'Co-op': 5434, 'Physics': 4906, 'Level Editor': 4743, 'Sci-fi': 4743, 'Science': 4655, 'Atmospheric': 4631, 'Comedy': 4631, 'Adventure': 4592}"
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,0,0,"Action, Free to Play","{'FPS': 88889, 'Shooter': 63890, 'Multiplayer': 60976, 'Competitive': 52179, 'Action': 46604, 'Team-Based': 45529, 'e-sports': 42522, 'Tactical': 40571, 'First-Person': 38573, 'PvP': 33664, 'Online Co-Op': 33278, 'Co-op': 29685, 'Strategy': 29560, 'Military': 28193, 'War': 27561, 'Difficult': 25584, 'Trading': 25200, 'Realistic': 25001, 'Fast-Paced': 24934, 'Moddable': 6236}"
2630,Call of Duty 2,Infinity Ward,Activision,1499,25,Action,"{'Action': 220, 'World War II': 215, 'FPS': 208, 'Multiplayer': 170, 'Singleplayer': 166, 'Shooter': 138, 'War': 128, 'Classic': 124, 'First-Person': 105, 'Historical': 93, 'Military': 60, 'Atmospheric': 56, 'Story Rich': 26, 'Co-op': 21, 'Controller': 17, 'Adventure': 17, 'Casual': 11, 'Online Co-Op': 10, 'Zombies': 10, 'Simulation': 8}"
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",499,0,Strategy,"{'Tower Defense': 1273, 'Zombies': 1135, 'Strategy': 880, 'Singleplayer': 754, 'Casual': 659, 'Comedy': 445, '2D': 427, 'Classic': 413, 'Great Soundtrack': 408, 'Family Friendly': 377, 'Funny': 334, 'Puzzle': 292, 'Addictive': 278, 'Cute': 277, 'Survival': 254, 'Indie': 249, 'Tactical': 205, 'Touch-Friendly': 127, 'Adventure': 126, 'Post-apocalyptic': 88}"
3900,Sid Meier's Civilization IV,Firaxis Games,2K,1999,0,Strategy,"{'Strategy': 293, 'Turn-Based Strategy': 207, 'Turn-Based': 176, '4X': 148, 'Historical': 129, 'Multiplayer': 103, 'Singleplayer': 89, 'Moddable': 67, 'Grand Strategy': 59, 'Classic': 56, 'Addictive': 45, 'Replay Value': 40, 'Simulation': 38, 'Resource Management': 37, 'Great Soundtrack': 32, 'War': 29, 'Economy': 27, 'Tactical': 26, 'Management': 19, 'Local Multiplayer': 6}"
4000,Garry's Mod,Facepunch Studios,Valve,999,0,"Indie, Simulation","{'Sandbox': 17865, 'Multiplayer': 13895, 'Funny': 12409, 'Moddable': 10025, 'Building': 9762, 'Mod': 8443, 'Comedy': 8414, 'Co-op': 8265, 'First-Person': 8056, 'Physics': 7019, 'Simulation': 6742, 'Online Co-Op': 6549, 'FPS': 6218, 'Singleplayer': 6166, 'Action': 5590, 'Animation & Modeling': 5428, 'Shooter': 5421, 'Indie': 5027, 'Massively Multiplayer': 4734, 'Adventure': 4724}"
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,GSC Game World,1999,0,"Action, RPG","{'Atmospheric': 1393, 'Post-apocalyptic': 1275, 'Open World': 1251, 'FPS': 1158, 'Survival': 933, 'Action': 699, 'RPG': 597, 'Shooter': 575, 'Survival Horror': 571, 'Horror': 535, 'First-Person': 503, 'Singleplayer': 494, 'Classic': 448, 'Based On A Novel': 380, 'Moddable': 371, 'Adventure': 360, 'Immersive': 315, 'Sci-fi': 305, 'Inventory Management': 278, 'Difficult': 251}"
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",Relic Entertainment,SEGA,1299,0,Strategy,"{'Strategy': 377, 'RTS': 305, 'Warhammer 40K': 304, 'Base-Building': 196, 'Sci-fi': 163, 'Multiplayer': 155, 'Real-Time': 127, 'Games Workshop': 125, 'Tactical': 116, 'Singleplayer': 115, 'War': 78, 'Classic': 65, 'Action': 60, 'Gore': 40, 'Fantasy': 29, 'Great Soundtrack': 28, 'Epic': 27, 'Story Rich': 26, 'Futuristic': 26, 'Dark': 9}"
6000,STAR WARS Republic Commando,LucasArts,"LucasArts, Lucasfilm, Disney",999,0,Action,"{'FPS': 412, 'Action': 405, 'Tactical': 334, 'Sci-fi': 284, 'Singleplayer': 271, 'Shooter': 248, 'First-Person': 208, 'Classic': 205, 'Multiplayer': 180, 'Great Soundtrack': 167, 'Atmospheric': 149, 'Space': 146, 'Epic': 130, 'Adventure': 122, 'Team-Based': 120, 'War': 109, 'Co-op': 90, 'Strategy': 88, 'Dark': 59, 'Futuristic': 43}"
6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",999,0,Action,"{'Action': 857, 'Multiplayer': 780, 'Shooter': 720, 'Classic': 711, 'Third-Person Shooter': 709, 'Sci-fi': 699, 'Space': 686, 'FPS': 629, 'First-Person': 486, 'Singleplayer': 436, 'Moddable': 376, 'Third Person': 365, 'Military': 354, 'Co-op': 270, 'Tactical': 257, 'Great Soundtrack': 247, 'Strategy': 241, 'Adventure': 199, 'Addictive': 172, 'Epic': 162}"
6850,Hitman 2: Silent Assassin,Io-Interactive A/S,Io-Interactive A/S,269,70,Action,"{'Stealth': 199, 'Action': 140, 'Third Person': 86, 'Assassin': 78, 'Singleplayer': 75, 'Classic': 74, 'Shooter': 55, 'Sandbox': 43, 'Great Soundtrack': 41, 'Old School': 33, 'Difficult': 29, 'Adventure': 21, 'Gore': 21, 'First-Person': 19, 'FPS': 18, 'Atmospheric': 16, 'Crime': 16, 'Tactical': 12, 'Story Rich': 11, 'Third-Person Shooter': 10}"
6860,Hitman: Blood Money,Io-Interactive A/S,Io-Interactive A/S,299,70,Action,"{'Stealth': 452, 'Action': 273, 'Assassin': 197, 'Singleplayer': 195, 'Third Person': 183, 'Classic': 168, 'Great Soundtrack': 113, 'Third-Person Shooter': 96, 'Cult Classic': 92, 'Sandbox': 88, 'Puzzle': 82, 'Replay Value': 71, 'Crime': 70, 'Shooter': 66, 'Atmospheric': 64, 'Difficult': 54, 'Strategy': 49, 'First-Person': 49, 'Dark': 42, 'Simulation': 25}"
6880,Just Cause,Avalanche Studios,Square Enix,699,0,Action,"{'Action': 159, 'Open World': 146, 'Shooter': 82, 'Third Person': 78, 'Singleplayer': 74, 'Adventure': 65, 'Sandbox': 62, 'Third-Person Shooter': 53, 'Classic': 41, 'Multiplayer': 30, 'Controller': 20, 'Atmospheric': 17, 'Great Soundtrack': 14, 'Action RPG': 10, 'Violent': 7, 'Funny': 6, 'RPG': 6}"
6910,Deus Ex: Game of the Year Edition,Ion Storm,Eidos Interactive Corp.,699,0,Action,"{'Cyberpunk': 1033, 'RPG': 855, 'Stealth': 741, 'Classic': 693, 'FPS': 625, 'Sci-fi': 594, 'Immersive Sim': 551, 'Cult Classic': 530, 'Action': 474, 'Singleplayer': 451, 'Dystopian ': 413, 'Story Rich': 373, 'Inventory Management': 338, 'Great Soundtrack': 333, 'First-Person': 282, 'Atmospheric': 257, 'Conspiracy': 252, 'Moddable': 243, 'Action RPG': 174, 'Shooter': 146}"
7670,BioShock,"2K Boston, 2K Australia",2K,1999,0,"Action, RPG","{'FPS': 1310, 'Atmospheric': 1016, 'Story Rich': 965, 'Action': 955, 'Singleplayer': 891, 'Horror': 704, 'Steampunk': 680, 'First-Person': 631, 'Shooter': 585, 'Sci-fi': 493, 'RPG': 451, 'Classic': 443, 'Adventure': 395, 'Dystopian ': 388, 'Underwater': 343, 'Immersive': 334, 'Dark': 301, 'Political': 287, 'Great Soundtrack': 217, 'Alternate History': 186}"
7940,Call of Duty 4: Modern Warfare (2007),Infinity Ward,Activision,999,50,Action,"{'FPS': 658, 'Action': 528, 'Multiplayer': 514, 'Shooter': 379, 'Singleplayer': 323, 'First-Person': 314, 'Classic': 280, 'Military': 249, 'War': 227, 'PvP': 144, 'Great Soundtrack': 124, 'Story Rich': 121, 'Linear': 119, 'Modern': 116, 'Co-op': 113, 'Controller': 98, 'Atmospheric': 96, 'Moddable': 88, 'Competitive': 78, 'Zombies': 63}"
8500,EVE Online,CCP,CCP,0,0,"Action, Free to Play, Massively Multiplayer, RPG, Strategy","{'Space': 1591, 'Free to Play': 1209, 'RPG': 1206, 'Sci-fi': 1198, 'PvP': 1198, 'Open World': 1196, 'Sandbox': 1191, 'Strategy': 1185, 'Multiplayer': 1184, 'Action': 1181, 'Economy': 1181, 'Massively Multiplayer': 1181, 'Character Customization': 785, 'Exploration': 735, 'War': 732, 'Spaceships': 722, 'Politics': 715, 'Lore-Rich': 714, 'MMORPG': 710, 'PvE': 709}"
8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,1999,0,Action,"{'FPS': 630, 'Action': 466, 'Singleplayer': 384, 'Atmospheric': 362, 'Story Rich': 357, 'Horror': 290, 'Shooter': 282, 'First-Person': 277, 'Steampunk': 245, 'Sci-fi': 210, 'Multiplayer': 182, 'Underwater': 163, 'Dystopian ': 162, 'Adventure': 142, 'RPG': 117, 'Immersive': 115, 'Dark': 102, 'Great Soundtrack': 96, 'Philosophical': 92, 'Action RPG': 68}"
8870,BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2K,2999,0,Action,"{'FPS': 2958, 'Story Rich': 2608, 'Action': 2261, 'Singleplayer': 1934, 'Steampunk': 1880, 'Atmospheric': 1700, 'Shooter': 1524, 'First-Person': 1424, 'Beautiful': 1008, 'Alternate History': 998, 'Adventure': 902, 'Great Soundtrack': 771, 'Dystopian ': 748, 'Sci-fi': 583, 'Time Travel': 463, 'Fantasy': 358, 'Gore': 320, 'Linear': 302, 'RPG': 270, 'Immersive': 214}"
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",2999,0,Strategy,"{'Turn-Based Strategy': 4919, 'Strategy': 4327, 'Turn-Based': 2551, 'Multiplayer': 2374, 'Historical': 2163, '4X': 1701, 'Addictive': 1672, 'Singleplayer': 1590, 'Hex Grid': 1305, 'Grand Strategy': 1036, 'Replay Value': 829, 'Co-op': 762, 'Economy': 719, 'Tactical': 719, 'Diplomacy': 673, 'Moddable': 625, 'Simulation': 595, 'Classic': 463, 'Great Soundtrack': 448, 'Touch-Friendly': 303}"
8980,Borderlands Game of the Year,Gearbox Software,2K,2999,0,"Action, RPG","{'Looter Shooter': 1254, 'FPS': 1162, 'Co-op': 920, 'RPG': 904, 'Action': 802, 'Loot': 752, 'Shooter': 634, 'Online Co-Op': 555, 'First-Person': 480, 'Open World': 471, 'Comedy': 451, 'Multiplayer': 433, 'Sci-fi': 404, 'Post-apocalyptic': 367, 'Singleplayer': 338, 'Action RPG': 301, 'Funny': 286, 'Dark Humor': 269, 'Adventure': 247, 'Gore': 238}"
10090,Call of Duty: World at War,Treyarch,Activision,1499,25,Action,"{'Zombies': 1151, 'World War II': 863, 'FPS': 849, 'Multiplayer': 753, 'Action': 740, 'Shooter': 714, 'Co-op': 639, 'Singleplayer': 604, 'Moddable': 576, 'First-Person': 574, 'War': 517, 'Online Co-Op': 460, 'Gore': 401, 'Historical': 382, 'Classic': 326, 'Survival': 310, 'Great Soundtrack': 274, 'Tanks': 263, 'Horror': 259, 'Adventure': 247}"
10180,Call of Duty: Modern Warfare 2 (2009),Infinity Ward,Activision,1499,25,Action,"{'Action': 1792, 'FPS': 1484, 'Multiplayer': 1255, 'Shooter': 995, 'First-Person': 820, 'Singleplayer': 725, 'War': 667, 'Military': 617, 'Co-op': 514, 'Online Co-Op': 491, 'PvP': 427, 'Great Soundtrack': 331, 'Story Rich': 299, 'Atmospheric': 231, 'Adventure': 223, 'Tactical': 220, 'Controller': 196, 'Linear': 181, 'Strategy': 155, 'Moddable': 145}"
12100,Grand Theft Auto III,Rockstar Games,Rockstar Games,0,0,Action,"{'Open World': 451, 'Action': 401, 'Automobile Sim': 360, 'Classic': 274, 'Third Person': 238, 'Crime': 210, 'Singleplayer': 209, 'Driving': 185, 'Sandbox': 183, 'Shooter': 157, 'Third-Person Shooter': 139, 'Great Soundtrack': 121, 'Violent': 116, 'Adventure': 115, 'Atmospheric': 109, 'Silent Protagonist': 105, 'Mature': 95, 'Story Rich': 85, 'Multiplayer': 60, 'Moddable': 60}"
12110,Grand Theft Auto: Vice City,Rockstar Games,Rockstar Games,0,0,Action,"{'Open World': 682, 'Action': 579, 'Automobile Sim': 531, '1980s': 484, 'Classic': 444, 'Great Soundtrack': 388, 'Crime': 359, 'Third Person': 339, 'Singleplayer': 332, 'Driving': 258, 'Sandbox': 258, 'Atmospheric': 236, 'Third-Person Shooter': 225, 'Violent': 212, 'Shooter': 210, 'Adventure': 202, 'Mature': 188, 'Music': 157, 'Funny': 156, 'Multiplayer': 136}"
12120,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games,0,0,Action,"{'Open World': 2020, 'Action': 1566, 'Crime': 1158, 'Classic': 1115, 'Automobile Sim': 1059, 'Third Person': 1055, 'Singleplayer': 1021, 'Multiplayer': 1021, 'Shooter': 856, 'Driving': 833, 'Story Rich': 751, 'Adventure': 677, 'Sandbox': 655, 'Mature': 642, 'Great Soundtrack': 620, 'Third-Person Shooter': 606, 'Moddable': 513, 'Atmospheric': 510, 'Funny': 488, 'Comedy': 383}"
